row_order,requested_concept_code,target_concept_code,concept_code,standard_concept_name,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,n_target_before_code,n_code_before_target
1,30082-Race-2,30082-Race-2,30082-Race-1,Race selected; White,20,385,333,45,333,385
22359,31386-covid_results-5,31386-covid_results-5,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",2,132,9,528,9,132
22360,31386-covid_results-999,31386-covid_results-999,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",1,133,3,534,3,133
22361,31393-join_why-1,31393-join_why-1,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",76,58,269,268,269,58
22362,31393-join_why-2,31393-join_why-2,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",95,39,369,168,369,39
22363,31393-join_why-3,31393-join_why-3,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",82,52,284,253,284,52
22364,31393-join_why-4,31393-join_why-4,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",48,86,181,356,181,86
22365,31393-join_why-5,31393-join_why-5,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",83,51,285,252,285,51
22366,31393-join_why-6,31393-join_why-6,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",65,69,229,308,229,69
22367,31393-join_why-7,31393-join_why-7,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",1,133,10,527,10,133
22368,31393-join_why-8,31393-join_why-8,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",0,134,0,537,0,134
22369,31393-join_why-9,31393-join_why-9,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",3,131,7,530,7,131
22370,31393-join_why-999,31393-join_why-999,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",0,134,1,536,1,134
22371,31396-join_hear-1,31396-join_hear-1,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",36,98,177,360,177,98
22372,31396-join_hear-2,31396-join_hear-2,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",61,73,249,288,249,73
22373,31396-join_hear-3,31396-join_hear-3,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",8,126,30,507,30,126
22374,31396-join_hear-4,31396-join_hear-4,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",3,131,13,524,13,131
22375,31396-join_hear-5,31396-join_hear-5,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",4,130,12,525,12,130
22376,31396-join_hear-6,31396-join_hear-6,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",34,100,100,437,100,100
22377,31396-join_hear-7,31396-join_hear-7,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",7,127,28,509,28,127
22378,31396-join_hear-999,31396-join_hear-999,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",0,134,1,536,1,134
22379,31405-skipped_why-1,31405-skipped_why-1,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",0,134,10,527,10,134
22380,31405-skipped_why-2,31405-skipped_why-2,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",2,132,20,517,20,132
22381,31405-skipped_why-3,31405-skipped_why-3,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",2,132,13,524,13,132
22382,31405-skipped_why-4,31405-skipped_why-4,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",128,6,486,51,486,6
22383,31405-skipped_why-5,31405-skipped_why-5,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",2,132,9,528,9,132
22384,32588-Symptoms_Ill_1,32588-Symptoms_Ill_1,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",7,142,6,571,6,142
22385,32589-Symptoms_Ill_2,32589-Symptoms_Ill_2,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",0,149,0,577,0,149
22386,32590-Symptoms_Ill_3,32590-Symptoms_Ill_3,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",11,138,13,564,13,138
22387,32591-Symptoms_Ill_4,32591-Symptoms_Ill_4,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",4,145,3,574,3,145
22388,32592-Symptoms_Ill_5,32592-Symptoms_Ill_5,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",19,130,8,569,8,130
22389,32593-Symptoms_Ill_6,32593-Symptoms_Ill_6,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",46,103,34,543,34,103
22390,32594-Symptoms_Ill_7,32594-Symptoms_Ill_7,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",14,135,29,548,29,135
22391,32595-Symptoms_Ill_8,32595-Symptoms_Ill_8,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",13,136,7,570,7,136
22392,32596-Symptoms_Ill_9,32596-Symptoms_Ill_9,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",12,137,3,574,3,137
22393,32597-Symptoms_Ill_10,32597-Symptoms_Ill_10,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",45,104,45,532,45,104
22394,32598-Symptoms_Ill_11,32598-Symptoms_Ill_11,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",20,129,14,563,14,129
22395,32599-Symptoms_Ill_12,32599-Symptoms_Ill_12,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",42,107,67,510,67,107
22396,32600-Symptoms_Ill_13,32600-Symptoms_Ill_13,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",11,138,10,567,10,138
22397,32601-Symptoms_Ill_14,32601-Symptoms_Ill_14,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",6,143,3,574,3,143
22398,32602-Symptoms_Ill_15,32602-Symptoms_Ill_15,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",6,143,7,570,7,143
22399,32603-Symptoms_Ill_16,32603-Symptoms_Ill_16,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",9,140,9,568,9,140
22400,32604-Symptoms_Ill_17,32604-Symptoms_Ill_17,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",19,130,17,560,17,130
22401,32605-Symptoms_Ill_18,32605-Symptoms_Ill_18,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",3,146,2,575,2,146
22402,32606-Symptoms_Ill_19,32606-Symptoms_Ill_19,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",1,148,1,576,1,148
22403,32607-Symptoms_Ill_20,32607-Symptoms_Ill_20,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",0,149,0,577,0,149
22404,32608-Symptoms_Ill_21,32608-Symptoms_Ill_21,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",95,54,0,577,0,54
22405,32609-Symptoms_Ill_22,32609-Symptoms_Ill_22,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",0,149,0,577,0,149
22406,32610-Symptoms_Ill_23,32610-Symptoms_Ill_23,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",14,135,14,563,14,135
22407,32611-Symptoms_Ill_24,32611-Symptoms_Ill_24,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",0,149,2,575,2,149
22408,32612-Symptoms_Ill_25,32612-Symptoms_Ill_25,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",43,106,28,549,28,106
22409,32613-Symptoms_Ill_26,32613-Symptoms_Ill_26,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",6,143,20,557,20,143
22410,32614-Symptoms_Ill_27,32614-Symptoms_Ill_27,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",1,148,1,576,1,148
22411,32615-Symptoms_Ill_28,32615-Symptoms_Ill_28,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",3,146,1,576,1,146
22412,32616-Symptoms_Ill_29,32616-Symptoms_Ill_29,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",10,139,12,565,12,139
22413,32617-Symptoms_Ill_30,32617-Symptoms_Ill_30,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",7,142,4,573,4,142
22414,32618-Symptoms_Ill_999,32618-Symptoms_Ill_999,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",0,149,0,577,0,149
22415,bin_30106-currently_pregnant,bin_30106-currently_pregnant,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",3,144,8,564,8,144
22416,bin_30107-alcohol_consume,bin_30107-alcohol_consume,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",89,59,361,200,361,59
22417,bin_30117-Deaf,bin_30117-Deaf,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",2,146,8,566,8,146
22418,bin_30118-Blind,bin_30118-Blind,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",3,146,4,572,4,146
22419,bin_30119-Concentrating,bin_30119-Concentrating,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",11,136,24,545,24,136
22420,bin_30120-Walking,bin_30120-Walking,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",9,139,31,545,31,139
22421,bin_30121-Dressing,bin_30121-Dressing,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",1,148,7,569,7,148
22422,bin_30122-Errands,bin_30122-Errands,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",3,143,12,562,12,143
22423,bin_30123-ColorBlind,bin_30123-ColorBlind,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",5,140,2,566,2,140
22424,bin_31401-research_before,bin_31401-research_before,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",30,103,141,393,141,103
22425,target_athome_positive,target_athome_positive,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",16,128,26,530,26,128
22426,target_pcr_positive,target_pcr_positive,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",27,107,25,367,25,107
22427,30103-conditionsrisks-10,30103-conditionsrisks-10,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",2,103,12,608,12,103
22428,30103-conditionsrisks-13,30103-conditionsrisks-13,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",9,96,53,567,53,96
22429,30103-conditionsrisks-14,30103-conditionsrisks-14,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",18,87,84,536,84,87
22430,30103-conditionsrisks-15,30103-conditionsrisks-15,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,2,618,2,105
22431,30103-conditionsrisks-16,30103-conditionsrisks-16,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,13,607,13,105
22432,30103-conditionsrisks-17,30103-conditionsrisks-17,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",5,100,21,599,21,100
22433,30103-conditionsrisks-19,30103-conditionsrisks-19,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",5,100,19,601,19,100
22434,30103-conditionsrisks-2,30103-conditionsrisks-2,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",5,100,46,574,46,100
22435,30103-conditionsrisks-20,30103-conditionsrisks-20,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",44,61,274,346,274,61
22436,30103-conditionsrisks-22,30103-conditionsrisks-22,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",4,101,6,614,6,101
22437,30103-conditionsrisks-23,30103-conditionsrisks-23,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,1,619,1,105
22438,30103-conditionsrisks-3,30103-conditionsrisks-3,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",14,91,94,526,94,91
22439,30103-conditionsrisks-4,30103-conditionsrisks-4,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",28,77,102,518,102,77
22440,30103-conditionsrisks-5,30103-conditionsrisks-5,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",4,101,13,607,13,101
22441,30103-conditionsrisks-6,30103-conditionsrisks-6,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,1,619,1,105
22442,30103-conditionsrisks-7,30103-conditionsrisks-7,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,4,616,4,105
22443,30103-conditionsrisks-8,30103-conditionsrisks-8,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",2,103,13,607,13,103
22444,30103-conditionsrisks-9,30103-conditionsrisks-9,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",3,102,43,577,43,102
22445,30103-conditionsrisks-999,30103-conditionsrisks-999,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",3,102,13,607,13,102
22446,30138-COVID_Why-1,30138-COVID_Why-1,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",37,68,60,561,60,68
22447,30138-COVID_Why-2,30138-COVID_Why-2,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",20,85,46,575,46,85
22448,30138-COVID_Why-3,30138-COVID_Why-3,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",13,92,23,598,23,92
22449,30138-COVID_Why-4,30138-COVID_Why-4,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",5,100,19,602,19,100
22450,30138-COVID_Why-5,30138-COVID_Why-5,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",4,101,33,588,33,101
22451,30138-COVID_Why-999,30138-COVID_Why-999,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,3,618,3,105
22452,30141-covid_tst_symptoms-1,30141-covid_tst_symptoms-1,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",2,103,6,615,6,103
22453,30141-covid_tst_symptoms-10,30141-covid_tst_symptoms-10,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",27,78,26,595,26,78
22454,30141-covid_tst_symptoms-11,30141-covid_tst_symptoms-11,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",12,93,16,605,16,93
22455,30141-covid_tst_symptoms-12,30141-covid_tst_symptoms-12,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",23,82,29,592,29,82
22456,30141-covid_tst_symptoms-13,30141-covid_tst_symptoms-13,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",8,97,5,616,5,97
22457,30141-covid_tst_symptoms-14,30141-covid_tst_symptoms-14,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",2,103,7,614,7,103
22458,30141-covid_tst_symptoms-15,30141-covid_tst_symptoms-15,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",5,100,10,611,10,100
22459,30141-covid_tst_symptoms-16,30141-covid_tst_symptoms-16,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",7,98,12,609,12,98
22460,30141-covid_tst_symptoms-17,30141-covid_tst_symptoms-17,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",16,89,17,604,17,89
22461,30141-covid_tst_symptoms-18,30141-covid_tst_symptoms-18,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",2,103,3,618,3,103
22462,30141-covid_tst_symptoms-19,30141-covid_tst_symptoms-19,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",1,104,1,620,1,104
22463,30141-covid_tst_symptoms-21,30141-covid_tst_symptoms-21,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",24,81,22,599,22,81
22464,30141-covid_tst_symptoms-23,30141-covid_tst_symptoms-23,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",7,98,10,611,10,98
22465,30141-covid_tst_symptoms-25,30141-covid_tst_symptoms-25,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",27,78,11,610,11,78
22466,30141-covid_tst_symptoms-26,30141-covid_tst_symptoms-26,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",7,98,5,616,5,98
22467,30141-covid_tst_symptoms-28,30141-covid_tst_symptoms-28,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",2,103,1,620,1,103
22468,30141-covid_tst_symptoms-29,30141-covid_tst_symptoms-29,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",6,99,6,615,6,99
22469,30141-covid_tst_symptoms-3,30141-covid_tst_symptoms-3,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",9,96,15,606,15,96
22470,30141-covid_tst_symptoms-30,30141-covid_tst_symptoms-30,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",3,102,4,617,4,102
22471,30141-covid_tst_symptoms-31,30141-covid_tst_symptoms-31,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",1,104,0,621,0,104
22472,30141-covid_tst_symptoms-4,30141-covid_tst_symptoms-4,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",3,102,8,613,8,102
22473,30141-covid_tst_symptoms-5,30141-covid_tst_symptoms-5,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",18,87,17,604,17,87
22474,30141-covid_tst_symptoms-6,30141-covid_tst_symptoms-6,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",26,79,43,578,43,79
22475,30141-covid_tst_symptoms-7,30141-covid_tst_symptoms-7,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",12,93,13,608,13,93
22476,30141-covid_tst_symptoms-8,30141-covid_tst_symptoms-8,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",5,100,16,605,16,100
22477,30141-covid_tst_symptoms-9,30141-covid_tst_symptoms-9,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",10,95,10,611,10,95
22478,30141-covid_tst_symptoms-998,30141-covid_tst_symptoms-998,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,1,620,1,105
22479,30147-flu_why-1,30147-flu_why-1,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",2,103,6,615,6,103
22480,30147-flu_why-3,30147-flu_why-3,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,2,619,2,105
22481,30147-flu_why-999,30147-flu_why-999,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,2,619,2,105
22482,30150-flu_tst_symptoms-1,30150-flu_tst_symptoms-1,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",1,104,2,619,2,104
22483,30150-flu_tst_symptoms-10,30150-flu_tst_symptoms-10,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",1,104,3,618,3,104
22484,30150-flu_tst_symptoms-12,30150-flu_tst_symptoms-12,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",1,104,1,620,1,104
22485,30150-flu_tst_symptoms-13,30150-flu_tst_symptoms-13,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,1,620,1,105
22486,30150-flu_tst_symptoms-15,30150-flu_tst_symptoms-15,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,1,620,1,105
22487,30150-flu_tst_symptoms-16,30150-flu_tst_symptoms-16,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,1,620,1,105
22488,30150-flu_tst_symptoms-21,30150-flu_tst_symptoms-21,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,3,618,3,105
22489,30150-flu_tst_symptoms-23,30150-flu_tst_symptoms-23,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,1,620,1,105
22490,30150-flu_tst_symptoms-3,30150-flu_tst_symptoms-3,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",1,104,2,619,2,104
22491,30150-flu_tst_symptoms-30,30150-flu_tst_symptoms-30,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,1,620,1,105
22492,30150-flu_tst_symptoms-5,30150-flu_tst_symptoms-5,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",1,104,2,619,2,104
22493,30150-flu_tst_symptoms-6,30150-flu_tst_symptoms-6,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",2,103,6,615,6,103
22494,30150-flu_tst_symptoms-7,30150-flu_tst_symptoms-7,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",1,104,1,620,1,104
22495,30150-flu_tst_symptoms-8,30150-flu_tst_symptoms-8,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,2,619,2,105
22496,30150-flu_tst_symptoms-9,30150-flu_tst_symptoms-9,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",1,104,3,618,3,104
22497,30153-Symptoms-1,30153-Symptoms-1,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",30,75,521,100,521,75
22498,30153-Symptoms-2,30153-Symptoms-2,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",33,72,33,588,33,72
22499,30153-Symptoms-3,30153-Symptoms-3,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",40,65,44,577,44,65
22500,30153-Symptoms-4,30153-Symptoms-4,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",3,102,4,617,4,102
22501,30153-Symptoms-5,30153-Symptoms-5,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",59,46,72,549,72,46
22502,30153-Symptoms-6,30153-Symptoms-6,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",29,76,20,601,20,76
22503,30153-Symptoms-999,30153-Symptoms-999,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,5,616,5,105
22504,30154-Symptoms_Resp-1,30154-Symptoms_Resp-1,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,479,142,479,105
22505,30154-Symptoms_Resp-2,30154-Symptoms_Resp-2,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",61,44,88,533,88,44
22506,30154-Symptoms_Resp-3,30154-Symptoms_Resp-3,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",72,33,79,542,79,33
22507,30154-Symptoms_Resp-4,30154-Symptoms_Resp-4,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",12,93,23,598,23,93
22508,30154-Symptoms_Resp-5,30154-Symptoms_Resp-5,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",9,96,17,604,17,96
22509,30154-Symptoms_Resp-6,30154-Symptoms_Resp-6,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",18,87,35,586,35,87
22510,30154-Symptoms_Resp-7,30154-Symptoms_Resp-7,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",15,90,14,607,14,90
22511,30154-Symptoms_Resp-999,30154-Symptoms_Resp-999,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",0,105,4,617,4,105
22512,30156-Symptom_GI-1,30156-Symptom_GI-1,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",51,54,518,103,518,54
